step,x,y,psi,K,Kcmd,ds,wp_index,detour_wp_x,detour_wp_y,detour_kf,detour_obs_idx
0,0,0,0,0,0,0,0,nan,nan,nan,-1
1,0.00999999,1.33928e-09,3.57142e-07,7.14285e-05,0.000873426,0.00999999,0,nan,nan,nan,-1
2,0.02,9.82141e-09,1.42857e-06,0.000142857,0.000647887,0.00999999,0,nan,nan,nan,-1
3,0.03,3.25892e-08,3.21429e-06,0.000214286,0.000836992,0.00999999,0,nan,nan,nan,-1
4,0.04,7.67856e-08,5.71428e-06,0.000285714,0.000946729,0.00999999,0,nan,nan,nan,-1
5,0.05,1.49553e-07,8.92857e-06,0.000357143,0.00101971,0.00999999,0,nan,nan,nan,-1
6,0.0599999,2.58035e-07,1.28571e-05,0.000428571,0.00108401,0.00999999,0,nan,nan,nan,-1
7,0.0699999,4.09374e-07,1.75e-05,0.0005,0.00114462,0.00999999,0,nan,nan,nan,-1
8,0.0799999,6.10713e-07,2.28571e-05,0.000571428,0.00120333,0.00999999,0,nan,nan,nan,-1
9,0.0899999,8.69195e-07,2.89285e-05,0.000642857,0.00126247,0.00999999,0,nan,nan,nan,-1
10,0.0999999,1.19196e-06,3.57143e-05,0.000714285,0.00132201,0.00999999,0,nan,nan,nan,-1
11,0.11,1.58616e-06,4.32142e-05,0.000785714,0.00138073,0.00999999,0,nan,nan,nan,-1
12,0.12,2.05893e-06,5.14285e-05,0.000857142,0.00144397,0.00999999,0,nan,nan,nan,-1
13,0.13,2.61741e-06,6.03571e-05,0.000928571,0.00150568,0.00999999,0,nan,nan,nan,-1
14,0.14,3.26874e-06,6.99999e-05,0.000999999,0.00156787,0.00999999,0,nan,nan,nan,-1
15,0.15,4.02008e-06,8.0357e-05,0.00107143,0.00163073,0.00999999,0,nan,nan,nan,-1
16,0.16,4.87856e-06,9.14285e-05,0.00114286,0.00169397,0.00999999,0,nan,nan,nan,-1
17,0.17,5.85133e-06,0.000103214,0.00121428,0.00175759,0.00999999,0,nan,nan,nan,-1
18,0.18,6.94552e-06,0.000115714,0.00128571,0.0018217,0.00999999,0,nan,nan,nan,-1
19,0.19,8.16829e-06,0.000128928,0.00135714,0.00188614,0.00999999,0,nan,nan,nan,-1
20,0.2,9.52677e-06,0.000142857,0.00142857,0.00195085,0.00999999,0,nan,nan,nan,-1
21,0.21,1.10281e-05,0.0001575,0.0015,0.00201602,0.00999999,0,nan,nan,nan,-1
22,0.22,1.26794e-05,0.000172857,0.00157143,0.00208143,0.00999999,0,nan,nan,nan,-1
23,0.23,1.44879e-05,0.000188928,0.00164286,0.00214713,0.00999999,0,nan,nan,nan,-1
24,0.24,1.64607e-05,0.000205714,0.00171428,0.00221232,0.00999999,0,nan,nan,nan,-1
25,0.25,1.86049e-05,0.000223214,0.00178571,0.0022793,0.00999999,0,nan,nan,nan,-1
26,0.26,2.09276e-05,0.000241428,0.00185714,0.00234575,0.00999999,0,nan,nan,nan,-1
27,0.27,2.34361e-05,0.000260357,0.00192857,0.00241243,0.00999999,0,nan,nan,nan,-1
28,0.28,2.61374e-05,0.00028,0.002,0.00247931,0.00999999,0,nan,nan,nan,-1
29,0.29,2.90388e-05,0.000300357,0.00207143,0.0025464,0.00999999,0,nan,nan,nan,-1
30,0.3,3.21472e-05,0.000321428,0.00214286,0.00261368,0.00999999,0,nan,nan,nan,-1
31,0.31,3.547e-05,0.000343214,0.00221428,0.00268114,0.00999999,0,nan,nan,nan,-1
32,0.32,3.90142e-05,0.000365714,0.00228571,0.00274874,0.00999999,0,nan,nan,nan,-1
33,0.33,4.2787e-05,0.000388928,0.00235714,0.00281655,0.00999999,0,nan,nan,nan,-1
34,0.34,4.67954e-05,0.000412856,0.00242857,0.0028845,0.00999999,0,nan,nan,nan,-1
35,0.35,5.10468e-05,0.000437499,0.0025,0.00295258,0.00999999,0,nan,nan,nan,-1
36,0.36,5.55454e-05,0.000462142,0.00242857,2.05245e-06,0.00999999,0,nan,nan,nan,-1
37,0.37,6.02896e-05,0.000486785,0.0025,0.00295258,0.00999999,0,nan,nan,nan,-1
38,0.38,6.52838e-05,0.000512142,0.00257143,0.00302081,0.00999999,0,nan,nan,nan,-1
39,0.39,7.05351e-05,0.000538213,0.00264285,0.00308916,0.00999999,0,nan,nan,nan,-1
40,0.4,7.60507e-05,0.000564999,0.00271428,0.00315764,0.00999999,0,nan,nan,nan,-1
41,0.41,8.18377e-05,0.000592499,0.00278571,0.00322623,0.00999999,0,nan,nan,nan,-1
42,0.42,8.79034e-05,0.000620713,0.00285714,0.00329494,0.00999999,0,nan,nan,nan,-1
43,0.43,9.42547e-05,0.000649642,0.00292857,0.00336375,0.00999999,0,nan,nan,nan,-1
44,0.44,0.000100899,0.000679285,0.003,0.00343265,0.00999999,0,nan,nan,nan,-1
45,0.45,0.000107843,0.000709642,0.00307142,0.00350166,0.00999999,0,nan,nan,nan,-1
46,0.46,0.000115094,0.000740713,0.00314285,0.00357075,0.00999999,0,nan,nan,nan,-1
47,0.47,0.00012266,0.000772499,0.00321428,0.00363992,0.00999999,0,nan,nan,nan,-1
48,0.48,0.000130547,0.000804999,0.00328571,0.00370917,0.00999999,0,nan,nan,nan,-1
49,0.49,0.00013876,0.000837498,0.00321428,-9.90506e-11,0.00999999,0,nan,nan,nan,-1
50,0.499999,0.000147294,0.000869284,0.00314285,2.81644e-15,0.00999999,0,nan,nan,nan,-1
51,0.509999,0.000156143,0.000900355,0.00307142,2.07682e-14,0.00999999,0,nan,nan,nan,-1
52,0.519999,0.000165299,0.000930713,0.003,1.53521e-13,0.00999999,0,nan,nan,nan,-1
53,0.529999,0.000174754,0.000960355,0.00292857,1.13543e-12,0.00999999,0,nan,nan,nan,-1
54,0.539999,0.000184503,0.000989284,0.00285714,8.3982e-12,0.00999999,0,nan,nan,nan,-1
55,0.549999,0.000194537,0.0010175,0.00278571,6.21195e-11,0.00999999,0,nan,nan,nan,-1
56,0.559999,0.00020485,0.001045,0.00271428,4.59515e-10,0.00999999,0,nan,nan,nan,-1
57,0.569999,0.000215435,0.00107178,0.00264285,3.40085e-09,0.00999999,0,nan,nan,nan,-1
58,0.579999,0.000226283,0.00109786,0.00257142,2.52623e-08,0.00999999,0,nan,nan,nan,-1
59,0.589999,0.000237389,0.00112321,0.0025,1.93061e-07,0.00999999,0,nan,nan,nan,-1
60,0.599999,0.000248745,0.00114785,0.00242857,2.01351e-06,0.00999999,0,nan,nan,nan,-1
61,0.609999,0.000260346,0.0011725,0.0025,0.00295258,0.00999999,0,nan,nan,nan,-1
62,0.619999,0.000272197,0.00119785,0.00257142,0.0030208,0.00999999,0,nan,nan,nan,-1
63,0.629999,0.000284306,0.00122393,0.00264285,0.00308915,0.00999999,0,nan,nan,nan,-1
64,0.639999,0.000296676,0.00125,0.00257142,1.99803e-08,0.00999999,0,nan,nan,nan,-1
65,0.649999,0.000309303,0.00127535,0.0025,1.93019e-07,0.00999999,0,nan,nan,nan,-1
66,0.659999,0.00032218,0.0013,0.00242857,2.04919e-06,0.00999999,0,nan,nan,nan,-1
67,0.669999,0.000335303,0.00132464,0.0025,0.00295257,0.00999999,0,nan,nan,nan,-1
68,0.679999,0.000348673,0.00134928,0.00242857,1.94495e-06,0.00999999,0,nan,nan,nan,-1
69,0.689999,0.000362289,0.00137393,0.0025,0.00295257,0.00999999,0,nan,nan,nan,-1
70,0.699999,0.000376152,0.00139857,0.00242857,2.05026e-06,0.00999999,0,nan,nan,nan,-1
71,0.709999,0.00039026,0.00142321,0.0025,0.00295257,0.00999999,0,nan,nan,nan,-1
72,0.719999,0.000404618,0.00144857,0.00257142,0.0030208,0.00999999,0,nan,nan,nan,-1
73,0.729999,0.000419234,0.00147464,0.00264285,0.00308913,0.00999999,0,nan,nan,nan,-1
74,0.739999,0.000434114,0.00150143,0.00271428,0.00315763,0.00999999,0,nan,nan,nan,-1
75,0.749999,0.000449265,0.00152893,0.00278571,0.00322621,0.00999999,0,nan,nan,nan,-1
76,0.759999,0.000464695,0.00155714,0.00285714,0.00329492,0.00999999,0,nan,nan,nan,-1
77,0.769999,0.000480411,0.00158607,0.00292857,0.00336373,0.00999999,0,nan,nan,nan,-1
78,0.779999,0.000496419,0.00161571,0.00299999,0.00343264,0.00999999,0,nan,nan,nan,-1
79,0.789999,0.000512727,0.00164607,0.00307142,0.00350164,0.00999999,0,nan,nan,nan,-1
80,0.799999,0.000529343,0.00167714,0.00314285,0.00357073,0.00999999,0,nan,nan,nan,-1
81,0.809999,0.00054627,0.00170821,0.00307142,-2.18608e-09,0.00999999,0,nan,nan,nan,-1
82,0.819999,0.000563505,0.00173857,0.00299999,1.50747e-13,0.00999999,0,nan,nan,nan,-1
83,0.829999,0.000581039,0.00176821,0.00292857,1.11273e-12,0.00999999,0,nan,nan,nan,-1
84,0.839999,0.000598866,0.00179714,0.00285714,8.2298e-12,0.00999999,0,nan,nan,nan,-1
85,0.849999,0.000616979,0.00182535,0.00278571,6.0907e-11,0.00999999,0,nan,nan,nan,-1
86,0.859999,0.00063537,0.00185285,0.00271428,4.50983e-10,0.00999999,0,nan,nan,nan,-1
87,0.869999,0.000654033,0.00187964,0.00264285,3.33974e-09,0.00999999,0,nan,nan,nan,-1
88,0.879999,0.00067296,0.00190571,0.00257142,2.46106e-08,0.00999999,0,nan,nan,nan,-1
