step,x,y,psi,K,Kcmd,ds,wp_index,detour_wp_x,detour_wp_y,detour_kf,detour_obs_idx
0,0,0,0,0,0,0,0,nan,nan,nan,-1
1,4.9955,0.16608,0.0886278,0.0354511,0.1,5,0,nan,nan,nan,-1
2,9.63545,1.11463,0.333954,0.0678901,0.1,4.74788,0,nan,nan,nan,-1
3,12.6223,2.59641,0.595812,0.0887344,0.1,3.34377,0,nan,nan,nan,-1
4,12.6328,2.6035,0.596932,0.0886442,-2.56902e-34,0.0126265,0,nan,nan,nan,-1
5,12.641,2.60912,0.597818,0.0885728,-9.67796e-47,0.0100016,0,nan,nan,nan,-1
6,12.6493,2.61475,0.598704,0.0885013,-9.27034e-56,0.0100007,0,nan,nan,nan,-1
7,12.6576,2.62039,0.599588,0.0884299,-8.8357e-68,0.0100005,0,nan,nan,nan,-1
8,12.6658,2.62604,0.600472,0.0883585,-7.97222e-80,0.0100003,0,nan,nan,nan,-1
9,12.6741,2.6317,0.601356,0.088287,-6.92052e-92,0.0100003,0,nan,nan,nan,-1
10,12.6823,2.63736,0.602238,0.0882156,-6.12772e-104,0.0100002,0,nan,nan,nan,-1
11,12.6905,2.64303,0.60312,0.0881442,-5.10981e-116,0.0100002,0,nan,nan,nan,-1
12,12.6988,2.6487,0.604001,0.0880727,-1.8314e-128,0.0100002,0,nan,nan,nan,-1
13,12.707,2.65438,0.604882,0.0880013,-6.56289e-141,0.0100001,0,nan,nan,nan,-1
14,12.7152,2.66007,0.605761,0.0879299,-7.87771e-153,0.0100001,0,nan,nan,nan,-1
15,12.7234,2.66577,0.60664,0.0878585,-9.54512e-165,0.0100001,0,nan,nan,nan,-1
16,12.7317,2.67148,0.607518,0.087787,-1.0615e-175,0.0100001,0,nan,nan,nan,-1
17,12.7399,2.67719,0.608396,0.0877156,-1.13162e-186,0.0100001,0,nan,nan,nan,-1
18,12.7481,2.68291,0.609273,0.0876442,-1.20974e-197,0.0100001,0,nan,nan,nan,-1
19,12.7563,2.68863,0.610149,0.0875727,-1.18235e-208,0.0100001,0,nan,nan,nan,-1
20,12.7645,2.69437,0.611024,0.0875013,-1.10004e-219,0.0100001,0,nan,nan,nan,-1
21,12.7726,2.70011,0.611899,0.0874299,-9.63878e-231,0.0100001,0,nan,nan,nan,-1
22,12.7808,2.70586,0.612773,0.0873584,-9.57891e-239,0.0100001,0,nan,nan,nan,-1
23,12.789,2.71161,0.613646,0.087287,-8.94466e-247,0.0100001,0,nan,nan,nan,-1
24,12.7972,2.71737,0.614519,0.0872156,-5.7033e-257,0.0100001,0,nan,nan,nan,-1
25,12.8053,2.72314,0.61539,0.0871442,-2.71728e-268,0.0100001,0,nan,nan,nan,-1
26,12.8135,2.72892,0.616261,0.0870727,-1.11414e-279,0.0100001,0,nan,nan,nan,-1
27,12.8217,2.7347,0.617132,0.0870013,-2.83482e-291,0.01,0,nan,nan,nan,-1
28,12.8298,2.74049,0.618001,0.0869299,-6.65481e-303,0.01,0,nan,nan,nan,-1
29,12.838,2.74629,0.61887,0.0868584,-2.65169e-314,0.01,0,nan,nan,nan,-1
30,12.8461,2.7521,0.619739,0.086787,0,0.01,0,nan,nan,nan,-1
31,12.8542,2.75791,0.620606,0.0867156,0,0.01,0,nan,nan,nan,-1
32,12.8624,2.76373,0.621473,0.0866442,0,0.01,0,nan,nan,nan,-1
33,12.8705,2.76955,0.622339,0.0865727,0,0.01,0,nan,nan,nan,-1
34,12.8786,2.77539,0.623204,0.0865013,0,0.01,0,nan,nan,nan,-1
35,12.8867,2.78123,0.624069,0.0864299,0,0.01,0,nan,nan,nan,-1
36,12.8949,2.78707,0.624933,0.0863584,0,0.01,0,nan,nan,nan,-1
37,12.903,2.79293,0.625796,0.086287,0,0.01,0,nan,nan,nan,-1
38,12.9111,2.79879,0.626659,0.0862156,0,0.01,0,nan,nan,nan,-1
39,12.9192,2.80465,0.627521,0.0861442,0,0.01,0,nan,nan,nan,-1
40,12.9273,2.81053,0.628382,0.0860727,0,0.01,0,nan,nan,nan,-1
41,12.9353,2.81641,0.629242,0.0860013,0,0.01,0,nan,nan,nan,-1
42,12.9434,2.8223,0.630102,0.0859299,0,0.01,0,nan,nan,nan,-1
43,12.9515,2.8282,0.630961,0.0858584,0,0.01,0,nan,nan,nan,-1
44,12.9596,2.8341,0.631819,0.085787,0,0.01,0,nan,nan,nan,-1
45,12.9676,2.84001,0.632676,0.0857156,0,0.01,0,nan,nan,nan,-1
46,12.9757,2.84592,0.633533,0.0856442,0,0.01,0,nan,nan,nan,-1
47,12.9838,2.85185,0.634389,0.0855727,0,0.01,0,nan,nan,nan,-1
48,12.9918,2.85778,0.635245,0.0855013,0,0.01,0,nan,nan,nan,-1
49,12.9999,2.86372,0.636099,0.0854299,0,0.01,0,nan,nan,nan,-1
50,13.0079,2.86966,0.636953,0.0853584,0,0.01,0,nan,nan,nan,-1
51,13.0159,2.87561,0.637806,0.085287,0,0.01,0,nan,nan,nan,-1
52,13.024,2.88157,0.638659,0.0852156,0,0.01,0,nan,nan,nan,-1
53,13.032,2.88753,0.639511,0.0851442,0,0.01,0,nan,nan,nan,-1
54,13.04,2.8935,0.640362,0.0850727,0,0.01,0,nan,nan,nan,-1
55,13.048,2.89948,0.641212,0.0850013,0,0.01,0,nan,nan,nan,-1
56,13.056,2.90547,0.642062,0.0849299,0,0.01,0,nan,nan,nan,-1
57,13.0641,2.91146,0.642911,0.0848584,0,0.01,0,nan,nan,nan,-1
58,13.0721,2.91746,0.643759,0.084787,0,0.01,0,nan,nan,nan,-1
59,13.0801,2.92346,0.644607,0.0847156,0,0.01,0,nan,nan,nan,-1
60,13.088,2.92948,0.645453,0.0846442,0,0.01,0,nan,nan,nan,-1
61,13.096,2.9355,0.646299,0.0845727,0,0.01,0,nan,nan,nan,-1
62,13.104,2.94152,0.647145,0.0845013,0,0.01,0,nan,nan,nan,-1
63,13.112,2.94755,0.647989,0.0844299,0,0.01,0,nan,nan,nan,-1
64,13.12,2.95359,0.648833,0.0843584,0,0.01,0,nan,nan,nan,-1
65,13.1279,2.95964,0.649677,0.084287,0,0.01,0,nan,nan,nan,-1
66,13.1359,2.96569,0.650519,0.0842156,0,0.01,0,nan,nan,nan,-1
67,13.1438,2.97175,0.651361,0.0841442,0,0.01,0,nan,nan,nan,-1
68,13.1518,2.97782,0.652202,0.0840727,0,0.01,0,nan,nan,nan,-1
69,13.1597,2.98389,0.653042,0.0840013,0,0.01,0,nan,nan,nan,-1
70,13.1677,2.98997,0.653882,0.0839299,0,0.01,0,nan,nan,nan,-1
71,13.1756,2.99605,0.654721,0.0838584,0,0.01,0,nan,nan,nan,-1
72,13.1835,3.00215,0.655559,0.083787,0,0.01,0,nan,nan,nan,-1
73,13.1915,3.00825,0.656397,0.0837156,0,0.01,0,nan,nan,nan,-1
74,13.1994,3.01435,0.657234,0.0836442,0,0.01,0,nan,nan,nan,-1
75,13.2073,3.02047,0.65807,0.0835727,0,0.01,0,nan,nan,nan,-1
76,13.2152,3.02658,0.658905,0.0835013,0,0.01,0,nan,nan,nan,-1
77,13.2231,3.03271,0.65974,0.0834299,0,0.01,0,nan,nan,nan,-1
78,13.231,3.03884,0.660574,0.0833584,0,0.01,0,nan,nan,nan,-1
79,13.2389,3.04498,0.661407,0.083287,0,0.01,0,nan,nan,nan,-1
80,13.2468,3.05113,0.662239,0.0832156,0,0.01,0,nan,nan,nan,-1
81,13.2547,3.05728,0.663071,0.0831442,0,0.01,0,nan,nan,nan,-1
82,13.2625,3.06344,0.663902,0.0830727,0,0.01,0,nan,nan,nan,-1
83,13.2704,3.0696,0.664733,0.0830013,0,0.01,0,nan,nan,nan,-1
84,13.2783,3.07578,0.665562,0.0829299,0,0.01,0,nan,nan,nan,-1
85,13.2862,3.08195,0.666391,0.0828584,0,0.01,0,nan,nan,nan,-1
86,13.294,3.08814,0.667219,0.082787,0,0.01,0,nan,nan,nan,-1
87,13.3019,3.09433,0.668047,0.0827156,0,0.01,0,nan,nan,nan,-1
88,13.3097,3.10053,0.668874,0.0826442,0,0.01,0,nan,nan,nan,-1
89,13.3176,3.10673,0.6697,0.0825727,0,0.01,0,nan,nan,nan,-1
90,13.3254,3.11294,0.670525,0.0825013,0,0.01,0,nan,nan,nan,-1
91,13.3332,3.11916,0.67135,0.0824299,0,0.01,0,nan,nan,nan,-1
92,13.3411,3.12538,0.672174,0.0823584,0,0.01,0,nan,nan,nan,-1
93,13.3489,3.13161,0.672997,0.082287,0,0.01,0,nan,nan,nan,-1
94,13.3567,3.13785,0.67382,0.0822156,0,0.01,0,nan,nan,nan,-1
95,13.3645,3.14409,0.674641,0.0821442,0,0.01,0,nan,nan,nan,-1
96,13.3723,3.15034,0.675462,0.0820727,0,0.01,0,nan,nan,nan,-1
97,13.3801,3.1566,0.676283,0.0820013,0,0.01,0,nan,nan,nan,-1
